feature,importance
section_0,16.786090850830078
section_207,16.776586532592773
imports_454,16.626657485961914
histogram_89,16.603126525878906
imports_908,16.56896209716797
imports_914,16.514245986938477
section_69,16.509693145751953
byteentropy_212,16.440223693847656
datadirectories_14,16.40335464477539
imports_1218,16.393922805786133
imports_993,16.386619567871094
imports_763,16.331846237182617
histogram_106,16.288482666015625
imports_1208,16.27720832824707
imports_278,16.209529876708984
histogram_255,16.190105438232422
imports_588,16.106325149536133
histogram_71,16.100488662719727
section_93,16.049468994140625
imports_1082,16.0385799407959
imports_591,16.030038833618164
imports_906,16.02700424194336
section_27,16.00352668762207
imports_408,15.938920974731445
section_37,15.935542106628418
imports_322,15.914634704589844
imports_678,15.912206649780273
histogram_54,15.817859649658203
byteentropy_63,15.789970397949219
imports_1168,15.781606674194336
imports_1110,15.778755187988281
section_2,15.708685874938965
histogram_163,15.706028938293457
section_101,15.69633960723877
imports_1222,15.673294067382812
imports_1198,15.602985382080078
imports_441,15.544487953186035
section_77,15.489319801330566
imports_808,15.434704780578613
imports_309,15.380529403686523
imports_400,15.367098808288574
byteentropy_232,15.110825538635254
imports_517,15.085235595703125
imports_938,15.067008972167969
imports_882,15.060615539550781
imports_492,15.06006145477295
section_132,15.052167892456055
byteentropy_118,15.035494804382324
imports_932,15.014132499694824
imports_589,14.984587669372559
imports_240,14.903668403625488
imports_987,14.877886772155762
imports_405,14.809279441833496
imports_604,14.789713859558105
imports_653,14.694945335388184
general_1,14.662652015686035
imports_778,14.652983665466309
imports_298,14.641254425048828
imports_401,14.608489036560059
histogram_4,14.594891548156738
byteentropy_240,14.568363189697266
imports_1133,14.560457229614258
header_54,14.508194923400879
section_139,14.49990463256836
imports_467,14.454028129577637
histogram_125,14.42212963104248
imports_1049,14.374923706054688
imports_923,14.359357833862305
imports_327,14.340560913085938
byteentropy_2,14.307210922241211
imports_279,14.286704063415527
imports_558,14.246541023254395
imports_1094,14.239455223083496
imports_1201,14.229560852050781
imports_954,14.213000297546387
imports_928,14.193801879882812
imports_551,14.147749900817871
byteentropy_228,14.118690490722656
imports_940,14.062746047973633
byteentropy_151,14.050106048583984
section_112,14.039315223693848
imports_112,14.031274795532227
header_17,14.009761810302734
imports_738,13.946334838867188
section_11,13.91247272491455
imports_1214,13.903347969055176
imports_904,13.873676300048828
imports_751,13.857146263122559
imports_297,13.840761184692383
imports_719,13.839566230773926
imports_951,13.83562183380127
exports_77,13.824716567993164
imports_991,13.819655418395996
imports_793,13.723430633544922
histogram_50,13.713492393493652
imports_541,13.705169677734375
imports_679,13.683290481567383
imports_1117,13.644328117370605
imports_1194,13.643579483032227
imports_482,13.636557579040527
imports_669,13.636082649230957
histogram_10,13.630108833312988
section_62,13.599421501159668
imports_728,13.545204162597656
imports_625,13.531482696533203
histogram_122,13.516070365905762
imports_676,13.507983207702637
imports_931,13.475461959838867
general_9,13.454366683959961
imports_1232,13.41848373413086
imports_901,13.418319702148438
section_137,13.416400909423828
section_146,13.376179695129395
